VP	Comp	RT	Error
114	incomp	407.906055999774	0
114	comp	413.432333999936	0
114	comp	461.805899999945	0
114	incomp	343.365564999658	0
114	incomp	379.664300000059	0
114	incomp	437.988573999519	0
114	incomp	345.273593000002	0
114	incomp	381.889486000091	0
114	incomp	379.239024999606	0
114	comp	403.56231099986	0
114	comp	339.167749999888	0
114	comp	375.470905999919	0
114	comp	347.484703000191	0
114	incomp	331.235382000159	0
114	comp	307.665802999963	0
114	incomp	365.447661999951	0
114	incomp	452.789469999971	0
114	comp	397.360673999628	0
114	incomp	401.600446999964	0
114	comp	313.254558999688	0
114	comp	291.322523999952	0
114	comp	334.70427400016	0
114	incomp	493.147454999871	0
114	comp	325.531566999871	0
114	comp	311.809180999717	0
114	incomp	343.793313999413	1
114	incomp	397.926302000087	0
114	comp	440.445148999515	0
114	comp	393.787720999626	0
114	comp	299.164680999638	0
114	incomp	417.907067999749	0
114	comp	401.794281999628	0
114	comp	417.432603999714	0
114	comp	327.330232999884	0
114	comp	325.817878999715	0
114	comp	279.859021999982	0
114	comp	303.335713999786	0
114	comp	326.489594000122	0
114	comp	317.936416999601	0
114	comp	265.584867999678	0
114	incomp	317.747465999673	1
114	comp	341.199210000013	0
114	incomp	415.626205999615	0
114	incomp	379.67435399969	0
115	comp	324.053686999832	0
115	comp	416.134224999951	0
115	comp	315.983322999728	0
115	incomp	368.120363999878	0
115	incomp	252.002879999509	0
115	incomp	299.883826000041	1
115	comp	264.240441999846	0
115	incomp	369.223599999714	0
115	incomp	326.310351999837	0
115	incomp	303.406940000059	1
115	incomp	315.623383000002	0
115	comp	266.829562999646	0
115	incomp	288.896789999399	0
115	comp	223.416979999911	0
115	incomp	303.638028000023	1
115	incomp	399.720221999814	1
115	incomp	452.706102999855	0
115	comp	325.322290000258	0
115	comp	269.552145000034	0
115	comp	295.616352000252	1
115	comp	227.67543000009	0
115	comp	231.325258999732	0
115	incomp	183.879195999907	1
115	incomp	663.941846999478	0
115	comp	357.523481000044	0
115	incomp	384.210510999765	0
115	incomp	257.499758999984	0
115	incomp	489.424849999978	0
115	comp	443.451916999948	0
115	incomp	337.716547999662	0
115	comp	254.09434499943	0
115	comp	286.050466999768	0
115	incomp	315.494543000113	0
115	comp	231.508557999859	1
115	comp	407.407277999482	0
115	comp	238.065791999816	0
115	incomp	563.652719999936	0
115	comp	412.300933999632	0
115	incomp	286.233252999864	1
115	comp	758.09236699979	0
115	incomp	299.170652999692	0
115	incomp	476.086897999721	0
115	incomp	233.781474999887	1
115	incomp	657.269602999804	0
115	incomp	393.399977999707	0
115	incomp	530.121863000204	0
115	incomp	378.057553999952	0
115	comp	307.359236000138	0
115	comp	264.210972999535	0
115	comp	299.36915899998	0
115	incomp	398.150722000082	0
115	incomp	464.68297399997	0
115	comp	430.77533899941	0
115	comp	383.918342000015	0
115	comp	232.178424999802	0
115	incomp	304.73620299972	0
115	comp	265.475941999739	0
115	comp	467.585176999819	0
115	comp	302.492789000098	1
115	incomp	404.667432000224	1
115	comp	467.809597999803	0
115	comp	241.56579099963	0
115	incomp	389.968601999954	0
115	comp	273.359078999874	1
115	comp	443.144048999784	0
115	comp	257.211742999516	0
115	comp	514.14843900011	0
115	incomp	399.760350999713	1
115	incomp	715.996227999767	0
115	incomp	441.410130999884	0
115	incomp	297.582845999841	1
115	comp	438.934630999938	0
115	incomp	443.463675999737	0
115	comp	467.749989999902	0
115	incomp	371.472928999538	0
115	comp	270.510117999493	0
115	incomp	388.586182999916	0
115	incomp	395.338683999853	0
115	comp	253.489787000035	0
115	comp	306.14892299991	0
115	comp	307.167481999841	0
115	incomp	382.791004999945	0
115	incomp	348.31734799991	0
115	incomp	400.113504999808	0
115	comp	359.550894999757	0
115	comp	350.612490999538	0
115	comp	275.311682999927	0
115	incomp	327.537779999602	0
115	comp	283.739081999556	0
115	incomp	430.077612999867	0
115	incomp	473.283654999705	0
115	comp	288.103174999833	0
115	comp	353.559578999466	0
115	incomp	439.474953999706	0
115	comp	334.281672999623	0
115	incomp	414.308957999765	0
115	comp	429.843874999733	0
115	incomp	312.213354999585	1
115	incomp	289.292756000123	0
115	incomp	364.000385999589	0
115	comp	279.62495599968	0
115	comp	400.095674999648	0
115	incomp	282.125866000115	1
115	comp	381.52696599991	0
115	incomp	501.856551999481	0
115	incomp	297.389460999966	1
115	comp	305.504909999854	0
115	comp	365.426220000245	0
115	comp	233.394882000084	0
115	incomp	373.908318999838	0
115	incomp	423.955884999486	0
115	incomp	498.785974999464	0
115	incomp	411.202340999807	1
115	comp	424.635963999663	0
115	incomp	418.450889999804	0
115	incomp	317.538845999479	0
115	comp	360.688718999882	0
115	incomp	469.571929999802	0
115	incomp	393.366299999798	0
115	comp	313.824630999989	0
115	comp	278.606547999971	0
115	incomp	411.408721999578	0
115	comp	298.210500000096	0
115	incomp	500.126904999888	0
115	incomp	332.513427999857	0
115	incomp	356.973425999968	0
115	comp	359.626445999766	1
115	comp	400.85586899977	0
115	incomp	471.373208999921	0
115	comp	345.141102000071	0
115	incomp	300.781296999958	0
115	comp	369.627186999878	0
115	incomp	273.584575999848	1
115	incomp	402.222613000049	1
115	comp	337.688392000018	0
115	incomp	287.201607000043	1
115	incomp	523.862750999797	0
115	comp	383.655203999751	0
115	incomp	715.935057000024	0
115	incomp	387.627506999706	1
115	comp	307.245587000125	0
115	comp	286.385087999861	0
115	incomp	319.361958000172	1
115	incomp	422.013662999689	0
115	incomp	277.921452999635	0
115	incomp	360.20617999975	0
115	incomp	315.345633000106	0
115	comp	311.535605999779	0
115	comp	380.682855000032	0
115	comp	349.905161999686	0
115	comp	291.557041999567	0
115	incomp	451.994534999812	0
115	comp	471.486333999565	0
115	comp	377.47483999965	0
115	incomp	294.359983000049	0
115	comp	287.275732000126	0
115	comp	339.667245999863	0
115	incomp	508.135867999954	0
115	comp	395.620673999474	0
115	incomp	601.439445999858	0
115	incomp	258.533739999621	1
115	comp	293.950690999736	0
115	comp	242.210078999506	0
115	comp	323.962080000001	0
115	incomp	518.090524999934	0
115	incomp	336.895973000082	0
115	incomp	601.158179999857	0
115	incomp	348.532784999861	0
115	comp	279.14667199957	0
115	comp	315.625847999854	0
115	comp	323.792675999812	0
115	comp	516.836904999764	0
115	incomp	431.533291999585	0
115	comp	485.953712999617	0
115	incomp	260.457307999786	1
115	comp	303.800578999926	0
115	incomp	549.40052899974	0
115	comp	310.862317000101	0
115	comp	360.375639999802	0
115	incomp	309.496034999484	1
115	comp	494.755520999661	0
115	comp	363.196533999599	0
115	incomp	492.218319000131	0
115	comp	435.420925000017	0
115	comp	532.677140999567	0
115	comp	281.718482000088	0
115	comp	305.607304999739	0
115	incomp	415.826536000168	0
115	comp	433.353314999749	0
115	incomp	444.064311999682	0
115	comp	415.283240999543	0
115	incomp	432.348225999704	0
115	comp	290.949151999939	0
115	incomp	383.971276999546	0
115	comp	287.259291999817	0
115	comp	359.5082920001	0
115	incomp	364.556065000215	0
115	comp	330.004271999769	0
115	incomp	295.413246999487	1
115	incomp	433.792555999844	0
115	incomp	379.938863999996	0
115	comp	321.419873000195	0
115	incomp	420.679420999932	0
115	incomp	417.197658999612	0
115	comp	364.532655999483	1
115	comp	311.634400999992	0
115	incomp	427.644900999894	0
115	comp	452.039533000061	0
